time,channel,cityName,comment,countryIsoCode,countryName,isAnonymous,isMinor,isNew,isRobot,isUnpatrolled,metroCode,namespace,page,regionIsoCode,regionName,user,delta,added,deleted
2015-09-12T00:46:58.771Z,#en.wikipedia,,added project,,,False,False,False,False,False,,Talk,Talk:Oswald Tilghman,,,GELongstreet,36,36,0
2015-09-12T00:47:00.496Z,#ca.wikipedia,,Robot inserta {{Commonscat}} que enllaça amb [[commons:category:Rallicula]],,,False,True,False,True,False,,Main,Rallicula,,,PereBot,17,17,0
2015-09-12T00:47:05.474Z,#en.wikipedia,Auburn,/* Status of peremptory norms under international law */ fixed spelling of 'Wimbledon',AU,Australia,True,False,False,False,False,,Main,Peremptory norm,NSW,New South Wales,60.225.66.142,0,0,0
2015-09-12T00:47:08.770Z,#vi.wikipedia,,fix Lỗi CS1: ngày tháng,,,False,True,False,True,False,,Main,Apamea abruzzorum,,,Cheers!-bot,18,18,0
2015-09-12T00:47:11.862Z,#vi.wikipedia,,clean up using [[Project:AWB|AWB]],,,False,False,False,True,False,,Main,Atractus flammigerus,,,ThitxongkhoiAWB,18,18,0
2015-09-12T00:47:13.987Z,#vi.wikipedia,,clean up using [[Project:AWB|AWB]],,,False,False,False,True,False,,Main,Agama mossambica,,,ThitxongkhoiAWB,18,18,0
2015-09-12T00:47:17.009Z,#ca.wikipedia,,/* Imperi Austrohongarès */,,,False,False,False,False,False,,Main,Campanya dels Balcans (1914-1918),,,Jaumellecha,-20,0,20
2015-09-12T00:47:19.591Z,#en.wikipedia,,adding comment on notability and possible COI,,,False,False,True,False,True,,Talk,Talk:Dani Ploeger,,,New Media Theorist,345,345,0
2015-09-12T00:47:21.578Z,#en.wikipedia,,Copying assessment table to wiki,,,False,False,False,True,False,,User,User:WP 1.0 bot/Tables/Project/Pubs,,,WP 1.0 bot,121,121,0
2015-09-12T00:47:25.821Z,#vi.wikipedia,,clean up using [[Project:AWB|AWB]],,,False,False,False,True,False,,Main,Agama persimilis,,,ThitxongkhoiAWB,18,18,0
2015-09-12T00:47:29.913Z,#en.wikipedia,,Blank stale warning(s) and replace with {{[[template:OW|OW]]}} using [[Project:AWB|AWB]],,,False,True,False,False,False,,User talk,User talk:161.184.95.17,,,DavidLeighEllis,0,0,0
2015-09-12T00:47:33.004Z,#vi.wikipedia,,clean up using [[Project:AWB|AWB]],,,False,False,False,True,False,,Main,Atractus edioi,,,ThitxongkhoiAWB,18,18,0
2015-09-12T00:47:35.776Z,#vi.wikipedia,,Lỗi CS1: ngày tháng,,,False,True,False,True,False,,Main,Agave gentryi,,,TuHan-Bot,36,36,0
